Country,Year,Sex,Age,Population
Canada,2018,Female,98,22454
Canada,2018,Female,99,22454
Canada,2018,Female,100,22454
Canada,2018,Female,101,22454
Canada,2018,Female,102,22454
Canada,2018,Female,103,22454
Canada,2018,Female,104,22454
Canada,2018,Female,105,22454
Canada,2018,Female,106,22454
Canada,2018,Female,107,22454
Canada,2018,Female,108,22454
Canada,2018,Female,109,22454
Canada,2018,Female,110,22454
Canada,2018,Female,111,22454
Canada,2018,Female,112,22454
Canada,2018,Female,113,22454
Canada,2018,Female,114,22454
Canada,2018,Female,115,22454
Canada,2018,Female,116,22454
Canada,2018,Female,117,22454
Canada,2018,Female,118,22454
Canada,2018,Female,119,22454
Canada,2018,Female,120,22454
Canada,2018,Female,121,22454
Canada,2018,Female,122,22454
Canada,2017,Male,0,196631
Canada,2017,Male,1,196631
Canada,2017,Male,2,196631
Canada,2017,Male,3,196631
Canada,2017,Male,4,196631
Canada,2017,Female,0,187290
Canada,2017,Female,1,187290
Canada,2017,Female,2,187290
Canada,2017,Female,3,187290
Canada,2017,Female,4,187290
Canada,2017,Male,5,202832
Canada,2017,Male,6,202832
Canada,2017,Male,7,202832
Canada,2017,Male,8,202832
Canada,2017,Male,9,202832
Canada,2017,Female,5,193887
Canada,2017,Female,6,193887
Canada,2017,Female,7,193887
Canada,2017,Female,8,193887
Canada,2017,Female,9,193887
Canada,2017,Male,10,194361
Canada,2017,Male,11,194361
Canada,2017,Male,12,194361
Canada,2017,Male,13,194361
Canada,2017,Male,14,194361
Canada,2017,Female,10,184875
Canada,2017,Female,11,184875
Canada,2017,Female,12,184875
Canada,2017,Female,13,184875
Canada,2017,Female,14,184875
Canada,2017,Male,15,211272
Canada,2017,Male,16,211272
Canada,2017,Male,17,211272
Canada,2017,Male,18,211272
Canada,2017,Male,19,211272
Canada,2017,Female,15,200133
Canada,2017,Female,16,200133
Canada,2017,Female,17,200133
Canada,2017,Female,18,200133
Canada,2017,Female,19,200133
Canada,2017,Male,20,253897
Canada,2017,Male,21,253897
Canada,2017,Male,22,253897
Canada,2017,Male,23,253897
Canada,2017,Male,24,253897
Canada,2017,Female,20,242553
Canada,2017,Female,21,242553
Canada,2017,Female,22,242553
Canada,2017,Female,23,242553
Canada,2017,Female,24,242553
Canada,2017,Male,25,258509
Canada,2017,Male,26,258509
Canada,2017,Male,27,258509
Canada,2017,Male,28,258509
Canada,2017,Male,29,258509
Canada,2017,Female,25,254016
Canada,2017,Female,26,254016
Canada,2017,Female,27,254016
Canada,2017,Female,28,254016
Canada,2017,Female,29,254016
Canada,2017,Male,30,256015
Canada,2017,Male,31,256015
Canada,2017,Male,32,256015
Canada,2017,Male,33,256015
Canada,2017,Male,34,256015
Canada,2017,Female,30,257158
Canada,2017,Female,31,257158
Canada,2017,Female,32,257158
Canada,2017,Female,33,257158
Canada,2017,Female,34,257158
Canada,2017,Male,35,247373
Canada,2017,Male,36,247373
Canada,2017,Male,37,247373
Canada,2017,Male,38,247373
Canada,2017,Male,39,247373
Canada,2017,Female,35,250368
Canada,2017,Female,36,250368
Canada,2017,Female,37,250368
Canada,2017,Female,38,250368
Canada,2017,Female,39,250368
Canada,2017,Male,40,235663
Canada,2017,Male,41,235663
Canada,2017,Male,42,235663
Canada,2017,Male,43,235663
Canada,2017,Male,44,235663
Canada,2017,Female,40,237704
Canada,2017,Female,41,237704
Canada,2017,Female,42,237704
Canada,2017,Female,43,237704
Canada,2017,Female,44,237704
Canada,2017,Male,45,235689
Canada,2017,Male,46,235689
Canada,2017,Male,47,235689
Canada,2017,Male,48,235689
Canada,2017,Male,49,235689
Canada,2017,Female,45,234580
Canada,2017,Female,46,234580
Canada,2017,Female,47,234580
Canada,2017,Female,48,234580
Canada,2017,Female,49,234580
Canada,2017,Male,50,266065
Canada,2017,Male,51,266065
Canada,2017,Male,52,266065
Canada,2017,Male,53,266065
Canada,2017,Male,54,266065
Canada,2017,Female,50,264143
Canada,2017,Female,51,264143
Canada,2017,Female,52,264143
Canada,2017,Female,53,264143
Canada,2017,Female,54,264143
Canada,2017,Male,55,271556
Canada,2017,Male,56,271556
Canada,2017,Male,57,271556
Canada,2017,Male,58,271556
Canada,2017,Male,59,271556
Canada,2017,Female,55,270785
Canada,2017,Female,56,270785
Canada,2017,Female,57,270785
Canada,2017,Female,58,270785
Canada,2017,Female,59,270785
Canada,2017,Male,60,232031
Canada,2017,Male,61,232031
Canada,2017,Male,62,232031
Canada,2017,Male,63,232031
Canada,2017,Male,64,232031
Canada,2017,Female,60,238278
Canada,2017,Female,61,238278
Canada,2017,Female,62,238278
Canada,2017,Female,63,238278
Canada,2017,Female,64,238278
Canada,2017,Male,65,196524
Canada,2017,Male,66,196524
Canada,2017,Male,67,196524
Canada,2017,Male,68,196524
Canada,2017,Male,69,196524
Canada,2017,Female,65,205365
Canada,2017,Female,66,205365
Canada,2017,Female,67,205365
Canada,2017,Female,68,205365
Canada,2017,Female,69,205365
Canada,2017,Male,75,96476
Canada,2017,Male,76,96476
Canada,2017,Male,77,96476
Canada,2017,Male,78,96476
Canada,2017,Male,79,96476
Canada,2017,Female,75,113734
Canada,2017,Female,76,113734
Canada,2017,Female,77,113734
Canada,2017,Female,78,113734
Canada,2017,Female,79,113734
Canada,2017,Male,80,14324
Canada,2017,Male,81,14324
Canada,2017,Male,82,14324
Canada,2017,Male,83,14324
Canada,2017,Male,84,14324
Canada,2017,Male,85,14324
Canada,2017,Male,86,14324
Canada,2017,Male,87,14324
Canada,2017,Male,88,14324
Canada,2017,Male,89,14324
Canada,2017,Male,90,14324
Canada,2017,Male,91,14324
Canada,2017,Male,92,14324
Canada,2017,Male,93,14324
Canada,2017,Male,94,14324
Canada,2017,Male,95,14324
Canada,2017,Male,96,14324
Canada,2017,Male,97,14324
Canada,2017,Male,98,14324
Canada,2017,Male,99,14324
Canada,2017,Male,100,14324
Canada,2017,Male,101,14324
Canada,2017,Male,102,14324
Canada,2017,Male,103,14324
Canada,2017,Male,104,14324
Canada,2017,Male,105,14324
Canada,2017,Male,106,14324
Canada,2017,Male,107,14324
Canada,2017,Male,108,14324
Canada,2017,Male,109,14324
Canada,2017,Male,110,14324
Canada,2017,Male,111,14324
Canada,2017,Male,112,14324
Canada,2017,Male,113,14324
Canada,2017,Male,114,14324
Canada,2017,Male,115,14324
Canada,2017,Male,116,14324
Canada,2017,Male,117,14324
Canada,2017,Male,118,14324
Canada,2017,Male,119,14324
Canada,2017,Male,120,14324
Canada,2017,Male,121,14324
Canada,2017,Male,122,14324
Canada,2017,Female,80,22047
Canada,2017,Female,81,22047
Canada,2017,Female,82,22047
Canada,2017,Female,83,22047
Canada,2017,Female,84,22047
Canada,2017,Female,85,22047
Canada,2017,Female,86,22047
Canada,2017,Female,87,22047
Canada,2017,Female,88,22047
Canada,2017,Female,89,22047
Canada,2017,Female,90,22047
Canada,2017,Female,91,22047
Canada,2017,Female,92,22047
Canada,2017,Female,93,22047
Canada,2017,Female,94,22047
Canada,2017,Female,95,22047
Canada,2017,Female,96,22047
Canada,2017,Female,97,22047
Canada,2017,Female,98,22047
Canada,2017,Female,99,22047
Canada,2017,Female,100,22047
Canada,2017,Female,101,22047
Canada,2017,Female,102,22047
Canada,2017,Female,103,22047
Canada,2017,Female,104,22047
Canada,2017,Female,105,22047
Canada,2017,Female,106,22047
Canada,2017,Female,107,22047
Canada,2017,Female,108,22047
Canada,2017,Female,109,22047
Canada,2017,Female,110,22047
Canada,2017,Female,111,22047
Canada,2017,Female,112,22047
Canada,2017,Female,113,22047
Canada,2017,Female,114,22047
Canada,2017,Female,115,22047
Canada,2017,Female,116,22047
Canada,2017,Female,117,22047
Canada,2017,Female,118,22047
Canada,2017,Female,119,22047
Canada,2017,Female,120,22047
Canada,2017,Female,121,22047
Canada,2017,Female,122,22047
Canada,2016,Male,0,195499
Canada,2016,Male,1,195499
Canada,2016,Male,2,195499
Canada,2016,Male,3,195499
Canada,2016,Male,4,195499
Canada,2016,Female,0,186273
Canada,2016,Female,1,186273
Canada,2016,Female,2,186273
Canada,2016,Female,3,186273
Canada,2016,Female,4,186273
Canada,2016,Male,5,201426
Canada,2016,Male,6,201426
Canada,2016,Male,7,201426
Canada,2016,Male,8,201426
